ID	Block	Trial	CSI	Practice	Switch	Targetpos	Distpos	RT	Error	LagError	GoodTrial
2011	8	14	2	0	1	3	7	1016.62	0	0	1
2011	8	15	2	0	1	6	10	484.521	0	0	1
2011	8	16	1	0	0	1	9	2321.3	0	0	1
2011	8	17	2	0	0	12	8	895.733	0	0	1
2011	8	18	1	0	1	11	3	1068.51	0	0	1
2011	8	19	1	0	1	9	1	782.286	0	0	1
2011	8	20	1	0	0	4	8	769.106	0	0	1
2011	8	21	1	0	0	11	7	711.343	0	0	1
2011	8	22	2	0	1	2	6	1189.86	0	0	1
2011	8	23	2	0	1	5	1	689.211	0	0	1
2011	8	24	1	0	1	3	11	774.535	0	0	1
2011	8	25	1	0	0	5	1	1453.41	0	0	1
2011	8	26	2	0	1	10	2	913.669	0	0	1
2011	8	27	2	0	1	7	3	1471.63	0	0	1
2011	8	28	2	0	1	6	10	1188.52	0	0	1
2011	8	29	2	0	1	11	3	2095.94	0	0	1
2011	8	30	2	0	1	4	8	892.456	0	0	1
2011	8	31	2	0	1	9	5	1682.31	0	0	1
2011	8	32	1	0	0	3	11	1307.56	0	0	1
2011	8	33	2	0	0	8	4	1764.8	0	0	1
2011	8	34	1	0	0	6	10	1243.43	0	0	1
2011	8	35	2	0	1	7	3	667.748	0	0	1
2011	8	36	2	0	0	1	5	792.182	0	0	1
2011	8	37	2	0	1	11	3	1068.13	0	0	1
2011	8	38	2	0	0	9	1	1677.1	0	0	1
2011	8	39	2	0	1	4	12	630.207	0	0	1
2011	8	40	2	0	1	1	5	1618.35	0	0	1
2011	9	1	1	0	0	6	2	1932.88	0	NaN	0
2011	9	2	2	0	1	11	3	859.998	0	0	1
2011	9	3	1	0	1	1	9	1336.27	0	0	1
2011	9	4	1	0	1	11	3	842.396	0	0	1
2011	9	5	1	0	0	2	6	1335.91	0	0	1
2011	9	6	1	0	1	3	11	1045.93	0	0	1
2011	9	7	2	0	1	4	12	750.702	0	0	1
2011	9	8	1	0	1	10	6	904.484	0	0	1
2011	9	9	1	0	1	12	8	1434.72	0	0	1
2011	9	10	1	0	1	7	11	1034.95	0	0	1
2011	9	11	2	0	1	1	9	658.478	0	0	1
2011	9	12	1	0	1	7	11	1619.82	0	0	1
2011	9	13	1	0	1	6	10	795.436	0	0	1
2011	9	14	1	0	1	7	11	1182.83	0	0	1
2011	9	15	2	0	1	6	10	825.845	0	0	1
2011	9	16	2	0	1	11	7	1305.98	0	0	1
2011	9	17	1	0	0	2	10	1775.84	0	0	1
2011	9	18	1	0	0	1	5	1697.96	0	0	1
2011	9	19	1	0	1	2	6	860.126	0	0	1
2011	9	20	1	0	1	8	4	2132.86	0	0	1
2011	9	21	2	0	1	10	6	706.987	0	0	1
2011	9	22	1	0	1	9	5	848.69	0	0	1
2011	9	23	1	0	1	8	12	1480.47	0	0	1
2011	9	24	1	0	1	9	5	1106.03	0	0	1
2011	9	25	2	0	1	7	3	639.81	0	0	1
2011	9	26	2	0	1	10	2	737.003	0	0	1
2011	9	27	2	0	1	4	8	974.787	0	0	1
2011	9	28	1	0	1	7	11	1478.49	0	0	1
2011	9	29	1	0	1	12	4	1115.79	0	0	1
2011	9	30	1	0	1	7	3	1353.22	0	0	1
2011	9	31	2	0	0	2	6	1552.56	0	0	1
2011	9	32	1	0	1	4	8	1338.99	0	0	1
2011	9	33	1	0	1	1	9	1557.26	0	0	1
2011	9	34	2	0	0	4	8	1415.98	0	0	1
2011	9	35	1	0	0	2	6	1047.44	0	0	1
2011	9	36	2	0	1	4	12	1155.71	0	0	1
2011	9	37	1	0	1	3	11	1890.7	0	0	1
2011	9	38	1	0	0	4	8	1543.88	0	0	1
2011	9	39	1	0	1	3	7	1118.15	0	0	1
2011	9	40	1	0	1	12	8	1279.7	0	0	1
